time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-18 00:00:00+00:00,1,1,,
2025-05-19 00:00:00+00:00,2,2,,
2025-05-20 00:00:00+00:00,2,2,,
2025-05-21 00:00:00+00:00,5,5,,
2025-05-27 00:00:00+00:00,2,1,,
