time_iso8601,stars_cumulative
2021-11-15 00:00:00+00:00,1
2021-12-15 00:00:00+00:00,2
2021-12-20 00:00:00+00:00,3
2022-02-03 00:00:00+00:00,4
2022-02-07 00:00:00+00:00,6
2022-03-08 00:00:00+00:00,8
2022-12-13 00:00:00+00:00,9
2023-02-11 00:00:00+00:00,10
2023-11-21 00:00:00+00:00,11
