url_path,views_total,views_unique
/cloudkeep-io/ebs-pricing,9,3
/cloudkeep-io/ebs-pricing/blob/main/get_ebs_pricing.py,9,2
/cloudkeep-io/ebs-pricing/blob/main/tools.py,5,2
/cloudkeep-io/ebs-pricing/blob/main/docs/ebs_pricing.json,5,1
/cloudkeep-io/ebs-pricing/blob/main/pyproject.toml,3,1
/cloudkeep-io/ebs-pricing/blob/main/README.md,3,1
/cloudkeep-io/ebs-pricing/tree/main,3,1
/cloudkeep-io/ebs-pricing/blob/main/docs/last_updated,2,1
/cloudkeep-io/ebs-pricing/blob/main/docs/index.html,1,1
/cloudkeep-io/ebs-pricing/blob/main/.github/workflows/update.yml,1,1
