url_path,views_total,views_unique
/cloudkeep-io/ebs-pricing,12,10
/cloudkeep-io/ebs-pricing/blob/main/docs/ebs_pricing.json,12,3
/cloudkeep-io/ebs-pricing/tree/main/docs,8,3
/cloudkeep-io/ebs-pricing/blob/main/tools.py,4,2
/cloudkeep-io/ebs-pricing/blob/main/poetry.lock,4,1
/cloudkeep-io/ebs-pricing/tree/main/.github/workflows,4,1
/cloudkeep-io/ebs-pricing/blob/main/get_ebs_pricing.py,3,1
/cloudkeep-io/ebs-pricing/blob/main/docs/last_updated,2,1
/cloudkeep-io/ebs-pricing/blob/main/.github/workflows/update.yml,2,1
/cloudkeep-io/ebs-pricing/blob/main/Makefile,2,1
