url_path,views_total,views_unique
/cloudkeep-io/ebs-pricing/blob/main/Makefile,10,1
/cloudkeep-io/ebs-pricing,9,6
/cloudkeep-io/ebs-pricing/blob/main/get_ebs_pricing.py,7,2
/cloudkeep-io/ebs-pricing/blob/main/docs/ebs_pricing.json,6,1
/cloudkeep-io/ebs-pricing/tree/main,6,1
/cloudkeep-io/ebs-pricing/blob/main/poetry.lock,4,1
/cloudkeep-io/ebs-pricing/tree/main/docs,4,1
/cloudkeep-io/ebs-pricing/tree/main/.github/workflows,4,1
/cloudkeep-io/ebs-pricing/blob/main/docs/last_updated,2,1
/cloudkeep-io/ebs-pricing/blob/main/.github/workflows/update.yml,2,1
